numerical_data,j=0.5,j=1.0,j=1.5,j=2.0,j=2.5,j=3.0,j=3.5,j=4.0,j=4.5,j=5.0,j=5.5,j=6.0
avg. angles (first node),-0.3333922000000408,-0.332253,-0.33368142666704426,-0.33153093333330974,-0.3356462857146386,-0.3299466333333503,-0.33640402222273696,-0.3297173200003237,-0.3273684747472722,-0.3293367866665792,-0.34000587832195595,-0.34661922857142524
std. angles (first node),0.0012943139237968193,0.0043076565119563644,0.004757438554904842,0.0023865884432029824,0.004414492963886749,0.007295016660608412,0.007452498032690965,0.014903060544760876,0.006318029138018623,0.018117324595946806,0.016760175164414616,0.0063217237465272415
n. chains combined,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
