numerical_data,j=0.5,j=1.0,j=1.5,j=2.0,j=2.5,j=3.0,j=3.5,j=4.0,j=4.5,j=5.0,j=5.5,j=6.0
avg. angles (first node),-0.3330744666667078,-0.3341519,-0.3304872933337095,-0.3322640333333096,-0.3319986914289259,-0.332652716666682,-0.3300373809528283,-0.3451176800003072,-0.3336473030300219,-0.3250140266666105,-0.32460658881162924,-0.34551941428573246
std. angles (first node),0.002052225480358325,0.0037738132472341485,0.004623861176703712,0.008886896773854597,0.0076763822429076825,0.015461845803854493,0.0151755975226529,0.017325194099517455,0.026229864412195877,0.03370157306786926,0.023173042116365148,0.03783629113891248
n. chains combined,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
